"",smp_1,smp_2,smp_3,smp_4,smp_5,smp_6,smp_7,smp_8,smp_9,smp_10
Absiella_argi,0,2.554,0,0,0,0,0,0,0,0
Absiella_dolichum,0,0,0,0,0,0,0,0,0,0
Acinetobacter_sp.,0,0,0,0,0,0,0,0,0,0
Acinetobacter_ursingii,0,0,0,0,0,0,0,0,0,0
Actinomyces_graevenitzii,0,0,0,0,0,0,0,0,0,0
Actinotignum_schaalii,0,0,0,0,0,0,0,0,0,0
Akkermansia_muciniphila,0,0,0,0,1.59,3.33,0,0,0,0
Alistipes_finegoldii,0,1.763,1.228,1.681,0,1.559,1.634,0,0,0
Alistipes_indistinctus,0,1.132,0,0,0,0,0,0,0,0
Alistipes_inops,0,0,0,0,0,0,0,0,0,0
Alistipes_obesi,0,0,0,1.253,0,0,1.147,0,0,0
Alistipes_sp.,0,0,0,0,0,0,0.713,0,0,0
Anaerococcus_hydrogenalis,0,0,0,0,0,0,0,0,0,0
Anaerococcus_vaginalis,0,0,0,0,0,0,0,0,0,0
Anaerofustis_stercorihominis,0,0,0,0,0,0,0,0,0,0
Anaeroglobus_geminatus,0,0,0,0,0,0,0,0,0,0
Anaerostipes_caccae,0,0,0,0,0,0,0,0,0,3.573
Anaerostipes_rhamnosivorans,0,0,0,0,0,0,0,0,0,0
Anaerotruncus_sp.,0,1.022,0,0,0,0,0,0,0,0
Atopobium_vaginae,0,0,0,0,0,0,0,0,0,0
bacterium_YE57,0,1.459,0,0,0,0,0,0,0,0
Bacteroidaceae_bacterium,0,0,0,0,0,0,0,0,0,0
Bacteroides_barnesiae,0,0,0,0,0,0,0,0,0,0
Bacteroides_caecigallinarum,0,0,0,0,0,0,0,0,0,0
Bacteroides_clarus,0,0,0,0,0,0,0,0,0,0
Bacteroides_coprocola,4.489,0,1.01,0,0,0,0,0,0,0
Bacteroides_coprophilus,0,0,0,0,0,0,0,0,0,0
Bacteroides_eggerthii,0,0,0,0,0,0,0,0,0,0
Bacteroides_finegoldii,0,0,0,4.626,0,0,0,0,0,0
Bacteroides_massiliensis,0,0,0,0,0,0.265,0,0,5.07,0
Bacteroides_sartorii,4.23,0,0,0,0,0,0,0,0,0
Bacteroides_sp.,0,0,0,0,0,0,0,0,0,0
Bacteroides_stercoris,3.836,0,0,0.657,0.652,0,0,3.739,0,0
Bacteroides_vulgatus,0,0.491,0,0,1.229,0.364,1.73,0,0,0.572
Barnesiella_viscericola,0,0,6.65,0,0,0,0,0,0,0
Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_bifidum,0,0,0,0,0.822,0,0,0,0,1.313
Bifidobacterium_pullorum,0,0,0,0,0,0,0,0,0,0
Blautia_caecimuris,0,0.721,0,0,0.629,0.92,0,0,0,1.221
Blautia_faecis,0,0.233,0.289,0.296,0.241,0.986,0.246,0,0,0
Blautia_hydrogenotrophica,0,0,0,0,2.518,4.29,0,0,0,0
Blautia_sp.,0,0,0,0,0,1.418,0,0,0,0
Blautia_stercoris,0,0,0,0,0,0,0,0,0,0
Brachyspira_aalborgi,0,0,0,0,0,0,0,0,0,0
Burkholderia_sp.,0,0,0,0,0.236,0,0,0,0,0
Butyricicoccus_pullicaecorum,0,0,0,0,0,0,0,0,0,0
Butyrivibrio_crossotus,0,0,0,0,0,0,0,0,0,0
Campylobacter_concisus,0,0,0,0,0,0,0,0,0,0
Campylobacter_gracilis,0,0,0,0,0,0,0,0,0,0
Campylobacter_hominis,0,0,0,0,0,0,0,0,0,0
Campylobacter_ureolyticus,0,0,0,0,0,0,0,0,0,0
Candidatus_Babela,0,0,0,0,0,0,0,0,0,0
Candidatus_Fonsibacter,0,0,0,0,0,0,0,0,0,0
Candidatus_Nanopelagicus,0,0,0,0,0,0,0,0,0,0
Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,0
Catenibacillus_scindens,0,0,0,0,0,0,0,0,0,0
Christensenella_minuta,0,0,0,0,0,0,0,0,0,0
Chryseobacterium_chaponense,0,0,0,0,0,0,0,0,0,0
Cladosporium_iridis,0,0,0,0,0,0,0,0,0,0
Cloacibacillus_evryensis,0,0,0,0,0,0,0,0,0,0
Clostridiaceae_bacterium,0,1.364,0,0,0,0,0,0,0,0
Clostridiales_bacterium,0,0,0,0,0,0,0,0,0,0
Clostridium_butyricum,0,0,0,0,0,0,0,0,0,0
Clostridium_paraputrificum,0,0,0,0,0,0,0,0,0,0
Clostridium_perfringens,0,0,0,0,0,0,0,0,0,0
Clostridium_tertium,0,0,0,0,0,0,0,0,0,0
Colletotrichum_nicotianae,0,0,6.427,0,0,0,0,0,0,0
Collinsella_sp.,0,0,0,0,0,0,0,0,0,0
Collinsella_stercoris,0,0,0,0,0,0,0,0,0,0
