Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_1,Absiella_argi,0,C,1
smp_1,Absiella_dolichum,0,C,1
smp_1,Acinetobacter_sp.,0,C,1
smp_1,Acinetobacter_ursingii,0,C,1
smp_1,Actinomyces_graevenitzii,0,C,1
smp_1,Actinotignum_schaalii,0,C,1
smp_1,Akkermansia_muciniphila,0,C,1
smp_1,Alistipes_finegoldii,0,C,1
smp_1,Alistipes_indistinctus,0,C,1
smp_1,Alistipes_inops,0,C,1
smp_1,Alistipes_obesi,0,C,1
smp_1,Alistipes_sp.,0,C,1
smp_1,Anaerococcus_hydrogenalis,0,C,1
smp_1,Anaerococcus_vaginalis,0,C,1
smp_1,Anaerofustis_stercorihominis,0,C,1
smp_1,Anaeroglobus_geminatus,0,C,1
smp_1,Anaerostipes_caccae,0,C,1
smp_1,Anaerostipes_rhamnosivorans,0,C,1
smp_1,Anaerotruncus_sp.,0,C,1
smp_1,Atopobium_vaginae,0,C,1
smp_1,bacterium_YE57,0,C,1
smp_1,Bacteroidaceae_bacterium,0,C,1
smp_1,Bacteroides_barnesiae,0,C,1
smp_1,Bacteroides_caecigallinarum,0,C,1
smp_1,Bacteroides_clarus,0,C,1
smp_1,Bacteroides_coprocola,4.489,C,1
smp_1,Bacteroides_coprophilus,0,C,1
smp_1,Bacteroides_eggerthii,0,C,1
smp_1,Bacteroides_finegoldii,0,C,1
smp_1,Bacteroides_massiliensis,0,C,1
smp_1,Bacteroides_sartorii,4.23,C,1
smp_1,Bacteroides_sp.,0,C,1
smp_1,Bacteroides_stercoris,3.836,C,1
smp_1,Bacteroides_vulgatus,0,C,1
smp_1,Barnesiella_viscericola,0,C,1
smp_1,Bifidobacterium_animalis,0,C,1
smp_1,Bifidobacterium_bifidum,0,C,1
smp_1,Bifidobacterium_pullorum,0,C,1
smp_1,Blautia_caecimuris,0,C,1
smp_1,Blautia_faecis,0,C,1
smp_1,Blautia_hydrogenotrophica,0,C,1
smp_1,Blautia_sp.,0,C,1
smp_1,Blautia_stercoris,0,C,1
smp_1,Brachyspira_aalborgi,0,C,1
smp_1,Burkholderia_sp.,0,C,1
smp_1,Butyricicoccus_pullicaecorum,0,C,1
smp_1,Butyrivibrio_crossotus,0,C,1
smp_1,Campylobacter_concisus,0,C,1
smp_1,Campylobacter_gracilis,0,C,1
smp_1,Campylobacter_hominis,0,C,1
smp_1,Campylobacter_ureolyticus,0,C,1
smp_1,Candidatus_Babela,0,C,1
smp_1,Candidatus_Fonsibacter,0,C,1
smp_1,Candidatus_Nanopelagicus,0,C,1
smp_1,Candidatus_Stoquefichus,0,C,1
smp_1,Catenibacillus_scindens,0,C,1
smp_1,Christensenella_minuta,0,C,1
smp_1,Chryseobacterium_chaponense,0,C,1
smp_1,Cladosporium_iridis,0,C,1
smp_1,Cloacibacillus_evryensis,0,C,1
smp_1,Clostridiaceae_bacterium,0,C,1
